,,,SpineMid,,,Neck,,,Head,,,ShoulderLeft,,,ElbowLeft,,,WristLeft,,,HandLeft,,,ShoulderRight,,,ElbowRight,,,WristRight,,,HandRight,,,SpineShoulder,,
14:27.6,163674,0,0.145015,-0.110817,0.949,0.457176,-0.160573,1.375,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.210913,0.054909,0.972
14:27.6,163708,0,0.132836,-0.098636,0.949,0.455183,-0.124732,1.369,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.135503,0.054686,0.968
14:27.7,163741,0,0.102169,-0.116658,0.947,0.457176,-0.160573,1.375,0.077035,0.32051,0.759,,,,,,,,,,,,,,,,,,,,,,,,,0.117591,0.042525,0.974
14:27.7,163775,0,0.139658,-0.099156,0.954,0.45352,-0.124276,1.364,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130493,0.067734,0.977
14:27.7,163808,0,0.127146,-0.111166,0.952,0.454518,-0.124549,1.367,0.076528,0.318399,0.754,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.169166,0.019915,1.107
14:27.8,163842,0,0.132695,-0.110699,0.948,0.454516,-0.159639,1.367,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.123333,0.048575,0.97
14:27.8,163875,0,0.127546,-0.129902,0.955,0.45618,-0.125005,1.372,0.076731,0.319243,0.756,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.253722,-0.001397,1.104
14:27.8,163908,0,0.145016,-0.098637,0.949,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.190478,0.027018,1.107
14:27.9,163941,0,0.126078,-0.104174,0.944,0.457178,-0.125278,1.375,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.117108,0.0548,0.97
14:27.9,163976,0,0.134094,-0.13031,0.958,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.255561,-0.001407,1.112
14:27.9,164007,0,0.145016,-0.092547,0.949,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.267651,0.041073,1.103
14:28.0,164041,0,0.145169,-0.098741,0.95,0.454518,-0.124549,1.367,0.076528,0.318399,0.754,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.183042,0.019878,1.105
14:28.0,164075,0,0.132556,-0.098428,0.947,0.45618,-0.125005,1.372,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.136063,0.067387,0.972
14:28.0,164109,0,0.127147,-0.098948,0.952,0.457841,-0.160807,1.377,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.012927,0.034253,1.111
14:28.1,164142,0,0.133116,-0.098844,0.951,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136623,0.061402,0.976
14:28.1,164174,0,0.145322,-0.092742,0.951,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.142008,0.067249,0.97
14:28.1,164209,0,0.108476,-0.098635,0.949,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136343,0.061276,0.974
14:28.2,164243,0,0.13878,-0.098533,0.948,0.457176,-0.160573,1.375,0.076528,0.318399,0.754,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.273982,0.033902,1.1
14:28.2,164275,0,0.101374,-0.067538,0.612,0.454518,-0.124549,1.367,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.097344,0.040074,0.637
14:28.2,164307,0,0.151106,-0.098637,0.949,0.457841,-0.160807,1.377,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.136203,0.061213,0.973
14:28.3,164343,0,0.145627,-0.105168,0.953,0.454518,-0.124549,1.367,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.142593,0.061275,0.974
14:28.3,164374,0,0.133396,-0.099052,0.953,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.129692,0.061087,0.971
14:28.3,164408,0,0.144405,-0.098221,0.945,0.45618,-0.125005,1.372,0.076325,0.317554,0.752,,,,,,,,,,,,,,,,,,,,,,,,,0.210697,0.073546,0.971
14:28.4,164441,0,0.132835,-0.110816,0.949,0.45618,-0.125005,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.135922,0.048625,0.971
14:28.4,164475,0,0.13834,-0.116414,0.945,0.454518,-0.124549,1.367,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.15356,0.061974,1.097
14:28.4,164507,0,0.151265,-0.104837,0.95,0.454518,-0.124549,1.367,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.14274,0.067595,0.975
14:28.5,164542,0,0.102494,-0.104835,0.95,0.457176,-0.160573,1.375,0.076426,0.317976,0.753,,,,0.288674,-0.176883,0.806,,,,,,,,,,,,,,,,,,,0.175951,0.019879,1.105
14:28.5,164575,0,0.150946,-0.104617,0.948,0.457178,-0.125278,1.375,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.269349,0.034211,1.11
14:28.5,164608,0,0.151424,-0.098845,0.951,-0.071387,0.25993,1.359,0.077035,0.32051,0.759,,,,,,,,,,,,,,,,,,,,,,,,,0.136623,0.067665,0.976
14:28.6,164641,0,0.139511,-0.099052,0.953,0.457841,-0.160807,1.377,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.14274,0.067595,0.975
14:28.6,164675,0,0.133536,-0.099156,0.954,0.457178,-0.125278,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.217598,0.067522,0.974
14:28.6,164708,0,0.139217,-0.129358,0.951,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130225,0.036312,0.975
14:28.7,164741,0,0.096701,-0.123513,0.953,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.253723,0.005688,1.104
14:28.7,164775,0,0.126478,-0.110582,0.947,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.084375,0.034312,1.113
14:28.7,164807,0,0.150628,-0.104396,0.946,0.45352,-0.124276,1.364,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.14274,0.061338,0.975
14:28.8,164841,0,0.127947,-0.13031,0.958,0.457178,-0.125278,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.093064,0.036462,0.979
14:28.8,164876,0,0.145627,-0.099053,0.953,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.142886,0.067664,0.976
14:28.8,164908,0,0.150469,-0.104286,0.945,-0.071387,0.25993,1.359,0.076629,0.318821,0.755,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.196511,0.026871,1.101
14:28.9,164942,0,0.133815,-0.111634,0.956,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.093255,0.055423,0.981
14:28.9,164976,0,0.151265,-0.104837,0.95,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,0.257344,-0.189727,0.774,,,,,,,,,,,,,,,,,,,0.26765,0.026917,1.103
14:28.9,165007,0,0.139511,-0.105168,0.953,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.091271,0.041342,1.11
14:29.0,165041,0,0.139072,-0.098741,0.95,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.160894,0.076192,1.099
14:29.0,165076,0,0.132276,-0.092156,0.945,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,0.288674,-0.176883,0.806,,,,,,,,,,,,,,,,,,,0.274729,0.041073,1.103
14:29.0,165108,0,0.094436,-0.064233,0.618,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,0.267652,-0.176662,0.805,,,,,,,,,,,,,,,,,,,0.185875,0.023608,0.766
14:29.1,165140,0,0.139219,-0.098844,0.951,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.167946,0.076192,1.099
14:29.1,165177,0,0.089738,-0.063714,0.613,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.165998,0.062852,0.765
14:29.1,165207,0,0.139511,-0.105168,0.953,0.454518,-0.124549,1.367,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.135923,0.054856,0.971
14:29.2,165241,0,0.145016,-0.098637,0.949,0.457178,-0.125278,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.210914,0.067384,0.972
14:29.2,165274,0,0.126746,-0.104726,0.949,0.452855,-0.124094,1.362,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.205098,0.067523,0.974
14:29.2,165308,0,0.144862,-0.116784,0.948,0.457841,-0.160807,1.377,0.076731,0.319243,0.756,,,,0.288674,-0.176883,0.806,,,,,,,,,,,,,,,,,,,0.190305,0.012799,1.106
14:29.3,165341,0,0.132974,-0.135319,0.95,0.456178,-0.160223,1.372,0.076731,0.319243,0.756,,,,0.267319,-0.176443,0.804,,,,,,,,,,,,,,,,,,,0.169623,-0.015647,1.11
14:29.3,165374,0,0.139218,-0.117153,0.951,-0.071123,0.293729,1.354,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.212216,0.061524,0.978
14:29.3,165408,0,0.121163,-0.135745,0.953,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,0.267984,-0.176882,0.806,,,,,,,,,,,,,,,,,,,0.247084,-0.008497,1.106
14:29.4,165441,0,0.095889,-0.122476,0.945,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,0.288315,-0.176663,0.805,,,,,,,,,,,,,,,,,,,0.168553,-0.00847,1.103
14:29.4,165475,0,0.145321,-0.104948,0.951,-0.106271,0.259931,1.359,0.076832,0.319665,0.757,,,,0.288315,-0.176663,0.805,,,,,,,,,,,,,,,,,,,0.268136,0.026965,1.105
14:29.4,165508,0,0.085384,-0.075145,0.61,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.13909,0.040324,0.641
14:29.5,165540,0,0.138485,-0.128678,0.946,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.254412,0.012807,1.107
14:29.5,165575,0,0.151584,-0.098949,0.952,0.454518,-0.124549,1.367,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.142593,0.061275,0.974
14:29.5,165609,0,0.099837,-0.112491,0.827,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.102258,0.02611,0.847
14:29.6,165640,0,0.138925,-0.110817,0.949,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.231419,0.083241,1.099
14:29.6,165675,0,0.119766,-0.091863,0.942,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.211132,0.086185,0.973
14:29.6,165708,0,0.114687,-0.092643,0.95,0.455183,-0.124732,1.369,0.057249,0.318822,0.755,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.268379,0.034087,1.106
14:29.7,165741,0,0.133255,-0.123385,0.952,0.455183,-0.124732,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.137042,0.049025,0.979
14:29.7,165774,0,0.145933,-0.09926,0.955,-0.071387,0.25993,1.359,0.076629,0.318821,0.755,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.197225,0.026969,1.105
14:29.7,165809,0,0.138925,-0.116906,0.949,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.135782,0.048575,0.97
14:29.8,165840,0,0.108591,-0.092643,0.95,-0.106506,0.260505,1.362,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.183872,0.041338,1.11
14:29.8,165874,0,0.133675,-0.111517,0.955,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.199051,0.061336,0.975
14:29.8,165909,0,0.133675,-0.117645,0.955,0.455181,-0.159872,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.129958,0.042481,0.973
14:29.9,165941,0,0.156367,-0.104176,0.944,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.203207,0.026822,1.099
14:29.9,165974,0,0.151106,-0.092547,0.949,-0.07123,0.259356,1.356,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.196868,0.033998,1.103
14:29.9,166010,0,0.088575,-0.111674,0.821,0.457176,-0.160573,1.375,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.173122,0.031579,0.848
14:30.0,166041,0,0.11372,-0.109998,0.942,0.455181,-0.159872,1.369,0.076629,0.318821,0.755,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.189617,0.019824,1.102
14:30.0,166074,0,0.139365,-0.105058,0.952,0.455183,-0.124732,1.369,0.077035,0.32051,0.759,,,,,,,,,,,,,,,,,,,,,,,,,0.136203,0.054969,0.973
14:30.0,166110,0,0.127412,-0.129766,0.954,0.454516,-0.159639,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130091,0.030024,0.974
14:30.1,166141,0,0.091056,-0.068641,0.622,0.45352,-0.124276,1.364,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.142757,0.044299,0.639
14:30.1,166174,0,0.114083,-0.09822,0.945,0.455181,-0.159872,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.268379,0.041185,1.106
14:30.1,166207,0,0.121672,-0.124032,0.957,0.455181,-0.159872,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130091,0.030024,0.974
14:30.2,166240,0,0.12728,-0.099052,0.953,0.45618,-0.125005,1.372,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.142447,0.061213,0.973
14:30.2,166280,0,0.107562,-0.097804,0.941,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.129959,0.061213,0.973
14:30.3,166314,0,0.114927,-0.135603,0.952,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,0.288315,-0.176663,0.805,,,,,,,,,,,,,,,,,,,0.1625,-0.008523,1.11
14:30.3,166347,0,0.144863,-0.104616,0.948,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.261045,0.041148,1.105
14:30.3,166379,0,0.138926,-0.104727,0.949,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.123715,0.054969,0.973
14:30.4,166412,0,0.132554,-0.134891,0.947,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.247308,0.005704,1.107
14:30.4,166446,0,0.132696,-0.104616,0.948,0.457176,-0.160573,1.375,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.117108,0.0548,0.97
14:30.4,166479,0,0.101415,-0.103732,0.94,0.454518,-0.124549,1.367,0.076731,0.319243,0.756,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.253954,0.034057,1.105
14:30.4,166511,0,0.107676,-0.103953,0.942,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.197826,0.067177,0.969
14:30.5,166546,0,0.138193,-0.122348,0.944,0.454518,-0.124549,1.367,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.12346,0.042394,0.971
14:30.5,166578,0,0.133115,-0.123255,0.951,0.45352,-0.124276,1.364,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.198846,0.042522,0.974
14:30.5,166611,0,0.102493,-0.110932,0.95,0.45352,-0.124276,1.364,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.123841,0.042525,0.974
14:30.6,166646,0,0.138047,-0.116167,0.943,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.175473,0.012753,1.102
14:30.6,166678,0,0.107676,-0.103953,0.942,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.267652,-0.176662,0.805,,,,,,,,,,,,,,,,,,,0.259155,0.026771,1.097
14:30.6,166711,0,0.139219,-0.098844,0.951,0.455183,-0.124732,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.198235,0.073546,0.971
14:30.7,166746,0,0.132975,-0.117029,0.95,0.458838,-0.161157,1.38,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130092,0.042525,0.974
14:30.7,166777,0,0.133676,-0.09926,0.955,0.45352,-0.124276,1.364,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.218045,0.073924,0.976
14:30.7,166810,0,0.150309,-0.104175,0.944,0.45618,-0.125005,1.372,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.210914,0.073622,0.972
14:30.8,166845,0,0.138633,-0.110583,0.947,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.253034,0.033934,1.101
14:30.8,166879,0,0.13951,-0.123515,0.953,0.454516,-0.159639,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.199663,0.048972,0.978
14:30.9,166912,0,0.145016,-0.092547,0.949,-0.106271,0.259931,1.359,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.182877,0.03403,1.104
14:30.9,166947,0,0.133536,-0.099156,0.954,0.457176,-0.160573,1.375,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.142594,0.067526,0.974
14:30.9,166978,0,0.114083,-0.09822,0.945,0.457841,-0.160807,1.377,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.198031,0.073471,0.97
14:31.0,167012,0,0.145474,-0.098949,0.952,0.457176,-0.160573,1.375,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.211131,0.073697,0.973
14:31.0,167047,0,0.138778,-0.122867,0.948,0.454518,-0.124549,1.367,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.130493,0.055195,0.977
14:31.0,167078,0,0.138926,-0.098637,0.949,0.454518,-0.124549,1.367,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.210697,0.073546,0.971
14:31.1,167111,0,0.132556,-0.092351,0.947,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.036411,0.067669,0.976
14:31.1,167144,0,0.126879,-0.117029,0.95,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.267652,-0.176662,0.805,,,,,,,,,,,,,,,,,,,0.261044,0.019875,1.105
14:31.1,167179,0,0.133116,-0.092741,0.951,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.182878,0.041114,1.104
14:31.2,167212,0,0.114204,-0.098324,0.946,0.45618,-0.125005,1.372,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.210697,0.067315,0.971
14:31.2,167244,0,0.144558,-0.092254,0.946,0.455183,-0.124732,1.369,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.204888,0.086186,0.973
14:31.2,167278,0,0.139364,-0.117276,0.952,0.457176,-0.160573,1.375,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.205518,0.061398,0.976
14:31.3,167312,0,0.108247,-0.116659,0.947,0.455183,-0.124732,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.09297,0.048977,0.978
14:31.3,167345,0,0.151424,-0.098845,0.951,0.457176,-0.160573,1.375,0.076528,0.318399,0.754,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.268379,0.041185,1.106
14:31.3,167379,0,0.151424,-0.098845,0.951,0.455181,-0.159872,1.369,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.217822,0.073849,0.975
14:31.4,167412,0,0.139365,-0.111167,0.952,0.455183,-0.124732,1.369,0.057022,0.317555,0.752,,,,,,,,,,,,,,,,,,,,,,,,,0.205729,0.061461,0.977
14:31.4,167445,0,0.132275,-0.116413,0.945,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.142593,0.055025,0.974
14:31.4,167478,0,0.114324,-0.104505,0.947,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.21048,0.061021,0.97
14:31.4,167511,0,0.144405,-0.098221,0.945,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.142301,0.067387,0.972
14:31.5,167546,0,0.114566,-0.092545,0.949,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.148538,0.067387,0.972
14:31.5,167579,0,0.133535,-0.117522,0.954,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.129958,0.042481,0.973
14:31.6,167613,0,0.113962,-0.098116,0.944,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.261281,0.034088,1.106
14:31.6,167647,0,0.139511,-0.099052,0.953,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.135923,0.061087,0.971
14:31.6,167679,0,0.127012,-0.117152,0.951,-0.071387,0.25993,1.359,0.076629,0.318821,0.755,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.253953,0.019875,1.105
14:31.7,167712,0,0.151106,-0.092547,0.949,-0.106271,0.259931,1.359,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.14274,0.073852,0.975
14:31.7,167745,0,0.127011,-0.135461,0.951,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.123586,0.029963,0.972
14:31.7,167779,0,0.138925,-0.129086,0.949,0.458838,-0.161157,1.38,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.030177,0.030121,0.977
14:31.8,167813,0,0.151106,-0.098637,0.949,0.457841,-0.160807,1.377,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.210914,0.073622,0.972
14:31.8,167846,0,0.102601,-0.117151,0.951,0.455181,-0.159872,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.26128,0.005698,1.106
14:31.8,167880,0,0.139218,-0.117153,0.951,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.183042,0.005696,1.105
14:31.9,167913,0,0.10217,-0.110581,0.947,0.455183,-0.124732,1.369,0.076528,0.318399,0.754,,,,0.267984,-0.176882,0.806,,,,,,,,,,,,,,,,,,,0.169318,0.005712,1.108
14:31.9,167946,0,0.139657,-0.1114,0.954,-0.07165,0.260886,1.364,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136062,0.048675,0.972
14:31.9,167979,0,0.102709,-0.117274,0.952,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.183042,0.005696,1.105
14:32.0,168012,0,0.133116,-0.092741,0.951,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.210914,0.073622,0.972
14:32.0,168045,0,0.132974,-0.135319,0.95,0.455181,-0.159872,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136902,0.036423,0.978
14:32.0,168076,0,0.132694,-0.135034,0.948,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.247085,0.005698,1.106
14:32.0,168111,0,0.145015,-0.110817,0.949,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136483,0.055082,0.975
14:32.1,168146,0,0.113841,-0.104063,0.943,0.457176,-0.160573,1.375,0.05687,0.31671,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.123715,0.054969,0.973
14:32.1,168181,0,0.133256,-0.092839,0.952,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.11157,0.073929,0.976
14:32.2,168213,0,0.139658,-0.093034,0.954,0.457176,-0.160573,1.375,0.076223,0.317132,0.751,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.183706,0.041301,1.109
14:32.2,168244,0,0.102278,-0.104614,0.948,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.15356,0.061974,1.097
14:32.2,168277,0,0.138925,-0.116906,0.949,0.455181,-0.159872,1.369,0.076629,0.318821,0.755,,,,0.288315,-0.176663,0.805,,,,,,,,,,,,,,,,,,,0.190134,0.019878,1.105
14:32.2,168312,0,0.139364,-0.129494,0.952,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130893,0.042787,0.98
14:32.3,168346,0,0.132835,-0.122996,0.949,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.130893,0.049076,0.98
14:32.3,168379,0,0.102276,-0.141116,0.948,-0.071387,0.25993,1.359,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130625,0.023871,0.978
14:32.4,168413,0,0.139364,-0.123385,0.952,-0.106271,0.259931,1.359,0.076629,0.318821,0.755,,,,0.267984,-0.176882,0.806,,,,,,,,,,,,,,,,,,,0.183373,-0.001397,1.107
14:32.4,168445,0,0.150628,-0.104396,0.946,0.457841,-0.160807,1.377,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.142008,0.061024,0.97
